,lineage,pq,rep_id,lin_id,ale_num,mut_df_col,precise_name,new_precise_name,precise_num
0_0_0pq__1,0_0,0,1,0,ALE4,A4 F237 I1 R1,ros_tale__ALE4_0pq__1,ros_tale__0_0_0pq__1,ecoli_00618
0_0_0pq__2,0_0,0,2,0,ALE4,A4 F237 I1 R1,ros_tale__ALE4_0pq__2,ros_tale__0_0_0pq__2,ecoli_00619
0_0_250pq__1,0_0,250,1,0,ALE4,A4 F237 I1 R1,ros_tale__ALE4_250pq__1,ros_tale__0_0_250pq__1,ecoli_00620
0_0_250pq__2,0_0,250,2,0,ALE4,A4 F237 I1 R1,ros_tale__ALE4_250pq__2,ros_tale__0_0_250pq__2,ecoli_00621
1_mid_250pq__1,1_mid,250,1,1,16.28,A16 F28 I1 R1,ros_tale__16_28_250pq__1,ros_tale__1_mid_250pq__1,ecoli_00564
1_mid_250pq__2,1_mid,250,2,1,16.28,A16 F28 I1 R1,ros_tale__16_28_250pq__2,ros_tale__1_mid_250pq__2,ecoli_00565
1_0_0pq__1,1_0,0,1,2,16.32,A16 F32 I1 R1,ros_tale__16_32_0pq__3,ros_tale__1_0_0pq__1,ecoli_00568
1_0_0pq__2,1_0,0,2,2,16.32,A16 F32 I1 R1,ros_tale__16_32_0pq__4,ros_tale__1_0_0pq__2,ecoli_00569
1_0_250pq__1,1_0,250,1,2,16.32,A16 F32 I1 R1,ros_tale__16_32_250pq__1,ros_tale__1_0_250pq__1,ecoli_00570
1_0_250pq__2,1_0,250,2,2,16.32,A16 F32 I1 R1,ros_tale__16_32_250pq__2,ros_tale__1_0_250pq__2,ecoli_00571
1_0_750pq__1,1_0,750,1,2,16.32,A16 F32 I1 R1,ros_tale__16_32_750pq__1,ros_tale__1_0_750pq__1,ecoli_00572
1_0_750pq__2,1_0,750,2,2,16.32,A16 F32 I1 R1,ros_tale__16_32_750pq__2,ros_tale__1_0_750pq__2,ecoli_00573
1_1_0pq__1,1_1,0,1,3,11.83,A11 F83 I1 R1,ros_tale__11_83_0pq__1,ros_tale__1_1_0pq__1,ecoli_00546
1_1_0pq__2,1_1,0,2,3,11.83,A11 F83 I1 R1,ros_tale__11_83_0pq__2,ros_tale__1_1_0pq__2,ecoli_00547
1_1_250pq__1,1_1,250,1,3,11.83,A11 F83 I1 R1,ros_tale__11_83_250pq__1,ros_tale__1_1_250pq__1,ecoli_00548
1_1_250pq__2,1_1,250,2,3,11.83,A11 F83 I1 R1,ros_tale__11_83_250pq__2,ros_tale__1_1_250pq__2,ecoli_00549
1_1_750pq__1,1_1,750,1,3,11.83,A11 F83 I1 R1,ros_tale__11_83_750pq__1,ros_tale__1_1_750pq__1,ecoli_00550
1_1_750pq__2,1_1,750,2,3,11.83,A11 F83 I1 R1,ros_tale__11_83_750pq__2,ros_tale__1_1_750pq__2,ecoli_00551
1_2_0pq__1,1_2,0,1,4,13.87,A13 F87 I1 R1,ros_tale__13_87_0pq__1,ros_tale__1_2_0pq__1,ecoli_00552
1_2_0pq__2,1_2,0,2,4,13.87,A13 F87 I1 R1,ros_tale__13_87_0pq__2,ros_tale__1_2_0pq__2,ecoli_00553
1_2_250pq__1,1_2,250,1,4,13.87,A13 F87 I1 R1,ros_tale__13_87_250pq__1,ros_tale__1_2_250pq__1,ecoli_00554
1_2_250pq__2,1_2,250,2,4,13.87,A13 F87 I1 R1,ros_tale__13_87_250pq__2,ros_tale__1_2_250pq__2,ecoli_00555
1_2_750pq__1,1_2,750,1,4,13.87,A13 F87 I1 R1,ros_tale__13_87_750pq__1,ros_tale__1_2_750pq__1,ecoli_00556
1_2_750pq__2,1_2,750,2,4,13.87,A13 F87 I1 R1,ros_tale__13_87_750pq__2,ros_tale__1_2_750pq__2,ecoli_00557
1_3_0pq__1,1_3,0,1,5,17.104,A17 F104 I1 R1,ros_tale__17_104_0pq__1,ros_tale__1_3_0pq__1,ecoli_00574
1_3_0pq__2,1_3,0,2,5,17.104,A17 F104 I1 R1,ros_tale__17_104_0pq__2,ros_tale__1_3_0pq__2,ecoli_00575
1_3_250pq__1,1_3,250,1,5,17.104,A17 F104 I1 R1,ros_tale__17_104_250pq__1,ros_tale__1_3_250pq__1,ecoli_00576
1_3_250pq__2,1_3,250,2,5,17.104,A17 F104 I1 R1,ros_tale__17_104_250pq__2,ros_tale__1_3_250pq__2,ecoli_00577
1_3_250pq__3,1_3,250,3,5,17.104,A17 F104 I1 R1,ros_tale__17_104_250pq__3,ros_tale__1_3_250pq__3,ecoli_00578
1_3_250pq__4,1_3,250,4,5,17.104,A17 F104 I1 R1,ros_tale__17_104_250pq__4,ros_tale__1_3_250pq__4,ecoli_00579
1_3_750pq__1,1_3,750,1,5,17.104,A17 F104 I1 R1,ros_tale__17_104_750pq__1,ros_tale__1_3_750pq__1,ecoli_00580
1_3_750pq__2,1_3,750,2,5,17.104,A17 F104 I1 R1,ros_tale__17_104_750pq__2,ros_tale__1_3_750pq__2,ecoli_00581
1_4_0pq__1,1_4,0,1,6,19.91,A19 F91 I1 R1,ros_tale__19_91_0pq__1,ros_tale__1_4_0pq__1,ecoli_00592
1_4_0pq__2,1_4,0,2,6,19.91,A19 F91 I1 R1,ros_tale__19_91_0pq__2,ros_tale__1_4_0pq__2,ecoli_00593
1_4_250pq__1,1_4,250,1,6,19.91,A19 F91 I1 R1,ros_tale__19_91_250pq__1,ros_tale__1_4_250pq__1,ecoli_00594
1_4_250pq__2,1_4,250,2,6,19.91,A19 F91 I1 R1,ros_tale__19_91_250pq__2,ros_tale__1_4_250pq__2,ecoli_00595
1_4_750pq__1,1_4,750,1,6,19.91,A19 F91 I1 R1,ros_tale__19_91_750pq__1,ros_tale__1_4_750pq__1,ecoli_00596
1_4_750pq__2,1_4,750,2,6,19.91,A19 F91 I1 R1,ros_tale__19_91_750pq__2,ros_tale__1_4_750pq__2,ecoli_00597
1_4_750pq__3,1_4,750,3,6,19.91,A19 F91 I1 R1,ros_tale__19_91_750pq__3,ros_tale__1_4_750pq__3,ecoli_00598
1_4_750pq__4,1_4,750,4,6,19.91,A19 F91 I1 R1,ros_tale__19_91_750pq__4,ros_tale__1_4_750pq__4,ecoli_00599
2_mid_250pq__1,2_mid,250,1,7,18.24,A18 F24 I1 R1,ros_tale__18_24_250pq__1,ros_tale__2_mid_250pq__1,ecoli_00582
2_mid_250pq__2,2_mid,250,2,7,18.24,A18 F24 I1 R1,ros_tale__18_24_250pq__2,ros_tale__2_mid_250pq__2,ecoli_00583
2_0_0pq__1,2_0,0,1,8,18.36,A18 F36 I1 R1,ros_tale__18_36_0pq__1,ros_tale__2_0_0pq__1,ecoli_00584
2_0_0pq__2,2_0,0,2,8,18.36,A18 F36 I1 R1,ros_tale__18_36_0pq__2,ros_tale__2_0_0pq__2,ecoli_00585
2_0_250pq__1,2_0,250,1,8,18.36,A18 F36 I1 R1,ros_tale__18_36_250pq__1,ros_tale__2_0_250pq__1,ecoli_00588
2_0_250pq__2,2_0,250,2,8,18.36,A18 F36 I1 R1,ros_tale__18_36_250pq__2,ros_tale__2_0_250pq__2,ecoli_00589
2_0_750pq__1,2_0,750,1,8,18.36,A18 F36 I1 R1,ros_tale__18_36_750pq__1,ros_tale__2_0_750pq__1,ecoli_00590
2_0_750pq__2,2_0,750,2,8,18.36,A18 F36 I1 R1,ros_tale__18_36_750pq__2,ros_tale__2_0_750pq__2,ecoli_00591
2_1_0pq__1,2_1,0,1,9,21.97,A21 F97 I0 R1,ros_tale__1_112_0pq__1,ros_tale__2_1_0pq__1,ecoli_00517
2_1_0pq__2,2_1,0,2,9,21.97,A21 F97 I0 R1,ros_tale__1_112_0pq__2,ros_tale__2_1_0pq__2,ecoli_00518
2_1_250pq__1,2_1,250,1,9,21.97,A21 F97 I0 R1,ros_tale__1_112_250pq__1,ros_tale__2_1_250pq__1,ecoli_00519
2_1_250pq__2,2_1,250,2,9,21.97,A21 F97 I0 R1,ros_tale__1_112_250pq__2,ros_tale__2_1_250pq__2,ecoli_00520
2_1_750pq__1,2_1,750,1,9,21.97,A21 F97 I0 R1,ros_tale__1_112_750pq__1,ros_tale__2_1_750pq__1,ecoli_00521
2_1_750pq__2,2_1,750,2,9,21.97,A21 F97 I0 R1,ros_tale__1_112_750pq__2,ros_tale__2_1_750pq__2,ecoli_00522
2_1_750pq__3,2_1,750,3,9,21.97,A21 F97 I0 R1,ros_tale__1_112_750pq__3,ros_tale__2_1_750pq__3,ecoli_00523
2_2_0pq__1,2_2,0,1,10,25.111,A25 F111 I1 R1,ros_tale__25_111_0pq__1,ros_tale__2_2_0pq__1,ecoli_00606
2_2_0pq__2,2_2,0,2,10,25.111,A25 F111 I1 R1,ros_tale__25_111_0pq__2,ros_tale__2_2_0pq__2,ecoli_00607
2_2_250pq__1,2_2,250,1,10,25.111,A25 F111 I1 R1,ros_tale__25_111_250pq__1,ros_tale__2_2_250pq__1,ecoli_00608
2_2_250pq__2,2_2,250,2,10,25.111,A25 F111 I1 R1,ros_tale__25_111_250pq__2,ros_tale__2_2_250pq__2,ecoli_00609
2_2_750pq__1,2_2,750,1,10,25.111,A25 F111 I1 R1,ros_tale__25_111_750pq__1,ros_tale__2_2_750pq__1,ecoli_00610
2_2_750pq__2,2_2,750,2,10,25.111,A25 F111 I1 R1,ros_tale__25_111_750pq__2,ros_tale__2_2_750pq__2,ecoli_00611
2_3_0pq__1,2_3,0,1,11,29.119,A29 F119 I1 R1,ros_tale__29_119_0pq__1,ros_tale__2_3_0pq__1,ecoli_00612
2_3_0pq__2,2_3,0,2,11,29.119,A29 F119 I1 R1,ros_tale__29_119_0pq__2,ros_tale__2_3_0pq__2,ecoli_00613
2_3_250pq__1,2_3,250,1,11,29.119,A29 F119 I1 R1,ros_tale__29_119_250pq__1,ros_tale__2_3_250pq__1,ecoli_00614
2_3_250pq__2,2_3,250,2,11,29.119,A29 F119 I1 R1,ros_tale__29_119_250pq__2,ros_tale__2_3_250pq__2,ecoli_00615
2_3_750pq__1,2_3,750,1,11,29.119,A29 F119 I1 R1,ros_tale__29_119_750pq__1,ros_tale__2_3_750pq__1,ecoli_00616
2_3_750pq__2,2_3,750,2,11,29.119,A29 F119 I1 R1,ros_tale__29_119_750pq__2,ros_tale__2_3_750pq__2,ecoli_00617
3_0_0pq__1,3_0,0,1,12,14.27,A14 F27 I1 R1,ros_tale__14_27_0pq__1,ros_tale__3_0_0pq__1,ecoli_00558
3_0_0pq__2,3_0,0,2,12,14.27,A14 F27 I1 R1,ros_tale__14_27_0pq__2,ros_tale__3_0_0pq__2,ecoli_00559
3_0_250pq__1,3_0,250,1,12,14.27,A14 F27 I1 R1,ros_tale__14_27_250pq__1,ros_tale__3_0_250pq__1,ecoli_00560
3_0_250pq__2,3_0,250,2,12,14.27,A14 F27 I1 R1,ros_tale__14_27_250pq__2,ros_tale__3_0_250pq__2,ecoli_00561
3_0_750pq__1,3_0,750,1,12,14.27,A14 F27 I1 R1,ros_tale__14_27_750pq__1,ros_tale__3_0_750pq__1,ecoli_00562
3_0_750pq__2,3_0,750,2,12,14.27,A14 F27 I1 R1,ros_tale__14_27_750pq__2,ros_tale__3_0_750pq__2,ecoli_00563
3_1_0pq__1,3_1,0,1,13,1.112,A1 F112 I1 R1,ros_tale__21_97_0pq__1,ros_tale__3_1_0pq__1,ecoli_00600
3_1_0pq__2,3_1,0,2,13,1.112,A1 F112 I1 R1,ros_tale__21_97_0pq__2,ros_tale__3_1_0pq__2,ecoli_00601
3_1_250pq__1,3_1,250,1,13,1.112,A1 F112 I1 R1,ros_tale__21_97_250pq__1,ros_tale__3_1_250pq__1,ecoli_00602
3_1_250pq__2,3_1,250,2,13,1.112,A1 F112 I1 R1,ros_tale__21_97_250pq__2,ros_tale__3_1_250pq__2,ecoli_00603
3_1_750pq__1,3_1,750,1,13,1.112,A1 F112 I1 R1,ros_tale__21_97_750pq__1,ros_tale__3_1_750pq__1,ecoli_00604
3_1_750pq__2,3_1,750,2,13,1.112,A1 F112 I1 R1,ros_tale__21_97_750pq__2,ros_tale__3_1_750pq__2,ecoli_00605
3_2_0pq__1,3_2,0,1,14,3.76,A3 F76 I1 R1,ros_tale__3_76_0pq__1,ros_tale__3_2_0pq__1,ecoli_00524
3_2_0pq__2,3_2,0,2,14,3.76,A3 F76 I1 R1,ros_tale__3_76_0pq__2,ros_tale__3_2_0pq__2,ecoli_00525
3_2_0pq__3,3_2,0,3,14,3.76,A3 F76 I1 R1,ros_tale__3_76_0pq__3,ros_tale__3_2_0pq__3,ecoli_00526
3_2_0pq__4,3_2,0,4,14,3.76,A3 F76 I1 R1,ros_tale__3_76_0pq__4,ros_tale__3_2_0pq__4,ecoli_00527
3_2_250pq__1,3_2,250,1,14,3.76,A3 F76 I1 R1,ros_tale__3_76_250pq__1,ros_tale__3_2_250pq__1,ecoli_00528
3_2_250pq__2,3_2,250,2,14,3.76,A3 F76 I1 R1,ros_tale__3_76_250pq__2,ros_tale__3_2_250pq__2,ecoli_00529
3_2_750pq__1,3_2,750,1,14,3.76,A3 F76 I1 R1,ros_tale__3_76_750pq__1,ros_tale__3_2_750pq__1,ecoli_00530
3_2_750pq__2,3_2,750,2,14,3.76,A3 F76 I1 R1,ros_tale__3_76_750pq__2,ros_tale__3_2_750pq__2,ecoli_00531
3_3_0pq__1,3_3,0,1,15,7.103,A7 F103 I1 R1,ros_tale__7_103_0pq__1,ros_tale__3_3_0pq__1,ecoli_00532
3_3_0pq__2,3_3,0,2,15,7.103,A7 F103 I1 R1,ros_tale__7_103_0pq__2,ros_tale__3_3_0pq__2,ecoli_00533
3_3_0pq__3,3_3,0,3,15,7.103,A7 F103 I1 R1,ros_tale__7_103_0pq__3,ros_tale__3_3_0pq__3,ecoli_00534
3_3_0pq__4,3_3,0,4,15,7.103,A7 F103 I1 R1,ros_tale__7_103_0pq__4,ros_tale__3_3_0pq__4,ecoli_00535
3_3_250pq__1,3_3,250,1,15,7.103,A7 F103 I1 R1,ros_tale__7_103_250pq__1,ros_tale__3_3_250pq__1,ecoli_00536
3_3_250pq__2,3_3,250,2,15,7.103,A7 F103 I1 R1,ros_tale__7_103_250pq__2,ros_tale__3_3_250pq__2,ecoli_00537
3_3_750pq__1,3_3,750,1,15,7.103,A7 F103 I1 R1,ros_tale__7_103_750pq__1,ros_tale__3_3_750pq__1,ecoli_00538
3_3_750pq__2,3_3,750,2,15,7.103,A7 F103 I1 R1,ros_tale__7_103_750pq__2,ros_tale__3_3_750pq__2,ecoli_00539
3_4_0pq__1,3_4,0,1,16,9.77,A9 F77 I1 R1,ros_tale__9_77_0pq__1,ros_tale__3_4_0pq__1,ecoli_00540
3_4_0pq__2,3_4,0,2,16,9.77,A9 F77 I1 R1,ros_tale__9_77_0pq__2,ros_tale__3_4_0pq__2,ecoli_00541
3_4_250pq__1,3_4,250,1,16,9.77,A9 F77 I1 R1,ros_tale__9_77_250pq__1,ros_tale__3_4_250pq__1,ecoli_00542
3_4_250pq__2,3_4,250,2,16,9.77,A9 F77 I1 R1,ros_tale__9_77_250pq__2,ros_tale__3_4_250pq__2,ecoli_00543
3_4_750pq__1,3_4,750,1,16,9.77,A9 F77 I1 R1,ros_tale__9_77_750pq__1,ros_tale__3_4_750pq__1,ecoli_00544
3_4_750pq__2,3_4,750,2,16,9.77,A9 F77 I1 R1,ros_tale__9_77_750pq__2,ros_tale__3_4_750pq__2,ecoli_00545
